Point X,Point Y,Point Z,Heading,Type,Move
-5528.29,-3200.59,0,0.455461,2,1
-5483.39,-3178.6,0,0.455461,2,1
-5438.49,-3156.61,0,0.455461,2,1
-5393.58,-3134.61,0,0.455461,2,1
-5348.68,-3112.62,0,0.455461,2,1
-5303.78,-3090.63,0,0.455461,2,1
-5258.88,-3068.63,0,0.455461,2,1
-5213.97,-3046.64,0,0.455461,2,1
-5169.07,-3024.64,0,0.455461,2,1
-5124.17,-3002.65,0,0.455461,2,1
-5079.26,-2980.66,0,0.455461,2,1
-5034.36,-2958.66,0,0.455461,2,1
-4989.46,-2936.67,0,0.455461,2,1
-4944.55,-2914.68,0,0.455461,2,1
-4899.65,-2892.68,0,0.455461,2,1
-4854.75,-2870.69,0,0.455461,2,1
-4809.85,-2848.69,0,0.455461,2,1
-4764.94,-2826.7,0,0.455461,2,1
-4720.04,-2804.71,0,0.455461,2,1
-4675.14,-2782.71,0,0.455461,2,1
-4630.23,-2760.72,0,0.455461,2,1
-4585.33,-2738.72,0,0.455461,2,1
-4540.43,-2716.73,0,0.455461,2,1
-4495.53,-2694.74,0,0.455461,2,1
-4450.62,-2672.74,0,0.455461,2,1
-4405.72,-2650.75,0,0.455461,2,1
-4360.82,-2628.76,0,0.455461,2,1
-4315.91,-2606.76,0,0.455461,2,1
-4271.01,-2584.77,0,0.455461,2,1
-4226.11,-2562.77,0,0.455461,2,1
-4181.21,-2540.78,0,0.455461,2,1
-4136.3,-2518.79,0,0.455461,2,1
-4091.4,-2496.79,0,0.455461,2,1
-4046.5,-2474.8,0,0.455461,2,1
-4001.59,-2452.8,0,0.455461,2,1
-3956.69,-2430.81,0,0.455461,2,1
-3911.79,-2408.82,0,0.455461,2,1
-3866.88,-2386.82,0,0.455461,2,1
-3821.98,-2364.83,0,0.455461,2,1
-3777.08,-2342.84,0,0.455461,2,1
-3732.18,-2320.84,0,0.455461,2,1
-3687.27,-2298.85,0,0.455461,2,1
-3642.37,-2276.85,0,0.455461,2,1
-3597.47,-2254.86,0,0.455461,2,1
-3552.56,-2232.87,0,0.455461,2,1
-3507.66,-2210.87,0,0.455461,2,1
-3462.76,-2188.88,0,0.455461,2,1
-3417.86,-2166.88,0,0.455461,2,1
-3372.95,-2144.89,0,0.455461,2,1
-3328.05,-2122.9,0,0.455461,2,1
-3283.15,-2100.9,0,0.455461,2,1
-3238.24,-2078.91,0,0.455461,2,1
-3193.34,-2056.92,0,0.455461,2,1
-3148.44,-2034.92,0,0.455461,2,1
-3103.54,-2012.93,0,0.455461,2,1
-3058.63,-1990.93,0,0.455461,2,1
-3013.73,-1968.94,0,0.455461,2,1
-2968.83,-1946.95,0,0.455461,2,1
-2923.92,-1924.95,0,0.455461,2,1
-2879.02,-1902.96,0,0.455461,2,1
-2834.12,-1880.96,0,0.455461,2,1
-2789.21,-1858.97,0,0.455461,2,1
-2744.31,-1836.98,0,0.455461,2,1
-2699.41,-1814.98,0,0.455461,2,1
-2654.51,-1792.99,0,0.455461,2,1
-2609.6,-1771,0,0.455461,2,1
-2564.7,-1749,0,0.455461,2,1
-2519.8,-1727.01,0,0.455461,2,1
-2474.89,-1705.01,0,0.455461,2,1
-2429.99,-1683.02,0,0.455461,2,1
-2385.09,-1661.03,0,0.455461,2,1
-2362.93,-1650.17,0,0.455461,2,1
-2362.93,-1650.17,0,0.455461,2,1
-2355.64,-1646.77,0,0.418879,2,1
-2355.64,-1646.77,0,0.418879,2,1
-2218.61,-1585.75,0,0.418879,4,1
12029.8,4758.04,0,0.418879,1,1
12303.9,4880.06,0,0.418879,5,1
12346.8,4905.39,0,0.646152,2,1
12383,4939.76,0,0.873424,2,1
12410.5,4981.39,0,1.1007,2,1
12427.9,5028.14,0,1.32797,2,1
12434.3,5077.62,0,1.55524,2,1
12429.5,5127.27,0,1.78252,2,1
12413.5,5174.55,0,2.00979,2,1
